transcript_id,SRR21831518,SRR21831519,SRR21831520,SRR21837144,SRR21837145,SRR21837146
TrSC58v2_475.t1.e1,0,3,0,0,0,4
TrSC58v2_476.t1,0,0,0,0,0,1
TrSC58v2_476.t1.e1,0,2,2,4,4,7
TrSC58v2_477.t1,0,0,0,1,0,0
TrSC58v2_477.t1.e1,0,4,0,1,0,2
TrSC58v2_478.t1,0,0,0,0,0,1
TrSC58v2_478.t1.e1,0,2,2,5,5,11
TrSC58v2_479.t1,0,0,0,1,0,1
TrSC58v2_479.t1.e1,0,0,0,3,0,3
TrSC58v2_480.t1,0,0,0,6,0,11
TrSC58v2_480.t1.e1,0,2,2,19,10,13
TrSC58v2_481.t1,0,5,6,2,0,50
TrSC58v2_481.t1.e1,0,7,7,20,36,53
TrSC58v2_483.t1,0,0,0,1,1,1
TrSC58v2_483.t1.e1,0,7,8,7,7,36
TrSC58v2_484.t1,0,0,10,13,9,27
TrSC58v2_484.t1.e1,0,4,11,16,13,30
TrSC58v2_487.t1,0,0,1,4,0,9
TrSC58v2_487.t1.e1,0,0,1,5,4,9
TrSC58v2_490.t1,0,5,1,4,1,24
TrSC58v2_490.t1.e1,0,7,16,5,29,36
TrSC58v2_502.t1,0,9,19,12,19,68
TrSC58v2_502.t1.e1,0,11,22,14,20,76
TrSC58v2_503.t1,0,0,0,2,0,25
TrSC58v2_503.t1.e1,0,5,0,3,16,29
TrSC58v2_504.t1,0,0,1,1,4,15
TrSC58v2_504.t1.e1,0,8,14,17,5,17
MSTRG.513.2,0,0,0,0,0,52
TrSC58v2_513.t1,0,0,1,1,2,45
TrSC58v2_513.t1.e1,0,4,2,25,7,54
TrSC58v2_517.t1,0,0,15,6,8,25
TrSC58v2_517.t1.e1,0,12,19,9,10,28
TrSC58v2_525.t1,0,0,0,1,4,3
TrSC58v2_525.t1.e1,0,0,8,8,5,28
TrSC58v2_529.t1,0,0,5,0,0,0
TrSC58v2_529.t1.e1,0,0,7,5,8,20
TrSC58v2_532.t1,0,0,1,3,2,18
TrSC58v2_532.t1.e1,0,3,3,4,3,20
TrSC58v2_535.t1,0,0,8,3,1,4
TrSC58v2_535.t1.e1,0,0,9,4,3,24
TrSC58v2_546.t1,0,0,4,0,1,2
TrSC58v2_546.t1.e1,0,0,5,18,3,28
TrSC58v2_176.t1.e1,4,9,8,4,4,19
TrSC58v2_176.t1,0,0,1,0,0,18
TrSC58v2_178.t1.e1,2,10,23,22,11,60
TrSC58v2_178.t1,0,10,19,18,11,50
TrSC58v2_180.t1.e1,9,4,14,29,21,63
TrSC58v2_180.t1,6,3,9,26,17,51
TrSC58v2_181.t1.e1,4,8,5,14,9,36
TrSC58v2_181.t1,3,6,1,1,8,31
TrSC58v2_183.t1.e1,1,1,1,3,2,6
TrSC58v2_183.t1,1,1,1,2,2,6
