gene_id,SRR21831518,SRR21831519,SRR21831520,SRR21837144,SRR21837145,SRR21837146
MSTRG.482|TcYC6_0175690,0,3,0,0,0,4
TrSC58v2_476|Spata17,0,0,0,0,0,1
MSTRG.483|Spata17,0,2,2,4,4,7
TrSC58v2_477|TcYC6_0175690,0,0,0,1,0,0
MSTRG.484|TcYC6_0175690,0,4,0,1,0,2
TrSC58v2_478|Spata17,0,0,0,0,0,1
MSTRG.485|Spata17,0,2,2,5,5,11
TrSC58v2_479|Pgam5,0,0,0,1,0,1
MSTRG.486|Pgam5,0,0,0,3,0,3
TrSC58v2_480|Spata17,0,0,0,6,0,11
MSTRG.487|Spata17,0,2,2,19,10,13
TrSC58v2_481|TRSC58_06051,0,5,6,2,0,50
MSTRG.488|TRSC58_06051,0,7,7,20,36,53
TrSC58v2_483|TRSC58_00553,0,0,0,1,1,1
MSTRG.490|TRSC58_00553,0,7,8,7,7,36
TrSC58v2_484|TRSC58_01407,0,0,10,13,9,27
MSTRG.491|TRSC58_01407,0,4,11,16,13,30
TrSC58v2_487|TRSC58_03426,0,0,1,4,0,9
MSTRG.495|TRSC58_03426,0,0,1,5,4,9
TrSC58v2_490|NAGT,0,5,1,4,1,24
MSTRG.498|NAGT,0,7,16,5,29,36
TrSC58v2_502|COG2,0,9,19,12,19,68
MSTRG.510|COG2,0,11,22,14,20,76
TrSC58v2_503|TRSC58_02985,0,0,0,2,0,25
MSTRG.511|TRSC58_02985,0,5,0,3,16,29
TrSC58v2_504|TRSC58_03790,0,0,1,1,4,15
MSTRG.512|TRSC58_03790,0,8,14,17,5,17
MSTRG.513,0,0,0,0,0,52
TrSC58v2_513|OS9,0,0,1,1,2,45
MSTRG.521|OS9,0,4,2,25,7,54
TrSC58v2_517|ALDH22A1,0,0,15,6,8,25
MSTRG.525|ALDH22A1,0,12,19,9,10,28
TrSC58v2_525|TRSC58_03339,0,0,0,1,4,3
MSTRG.533|TRSC58_03339,0,0,8,8,5,28
TrSC58v2_529|C3747_109g162,0,0,5,0,0,0
MSTRG.537|C3747_109g162,0,0,7,5,8,20
TrSC58v2_532|TcCL_ESM12079,0,0,1,3,2,18
MSTRG.540|TcCL_ESM12079,0,3,3,4,3,20
TrSC58v2_535|TRSC58_00733,0,0,8,3,1,4
MSTRG.543|TRSC58_00733,0,0,9,4,3,24
